Time,ax,ay,az
0.180176, -5.32435, 1.11084, 8.38873
0.286133, -5.36266, 0.957617, 7.81416
0.393066, -5.55418, 1.22575, 7.16298
0.5, -5.24774, 1.07253, 8.35042
0.608154, -5.28605, 0.995922, 7.85246
0.714111, -5.09452, 0.957617, 8.38873
0.821045, -5.36266, 0.919312, 7.85246
0.927002, -5.66909, 0.995922, 7.73755
1.03418, -5.24774, 1.11084, 7.96737
1.14111, -5.24774, 0.919312, 8.04398
1.24707, -5.01791, 0.995922, 7.92907
1.354, -5.51587, 1.22575, 7.89076
1.45996, -4.82639, 1.18745, 7.85246
1.56714, -5.09452, 1.37897, 7.85246
1.74902, -4.86469, 1.34066, 7.81416
1.85596, -4.97961, 1.18745, 8.00568
1.96313, -4.86469, 1.30236, 8.23551
2.07007, -4.78809, 1.26405, 7.85246
2.17603, -4.78809, 1.34066, 7.96737
2.28296, -5.17113, 1.22575, 8.00568
2.38916, -4.86469, 1.6471, 7.66094
2.49512, -5.01791, 1.45558, 7.69924
2.60205, -4.903, 1.53219, 7.81416
2.70801, -5.05622, 1.49388, 7.81416
2.81616, -4.9413, 1.57049, 8.50364
2.92212, -5.13283, 1.45558, 7.92907
