Time,ax,ay,az
0.193001, 0.0383047, -0.114914, 9.46126
0.299004, 0.191523, -0.153219, 9.26973
0.405998, 0.0766094, -0.114914, 9.38465
0.512001, 0.0766094, -0.0766094, 9.8443
0.619003, 0.0766094, -0.114914, 9.99752
0.724998, 0.0766094, -0.0766094, 9.19312
0.833, 0.114914, -0.191523, 9.42295
0.939003, 0.153219, -0.268133, 10.0358
1.046, 0.0766094, -0.191523, 9.88261
1.152, 0.0383047, -0.153219, 9.806
1.258, 0.0383047, -0.153219, 9.42295
1.365, 0.0383047, -0.114914, 9.42295
1.475, 0.153219, -0.0766094, 9.57617
1.582, -0.0766094, -0.0766094, 9.23143
1.767, 0.229828, -0.114914, 10.0358
1.874, 0.191523, -0.229828, 9.69109
1.981, 0.383047, -0.153219, 9.42295
2.089, 0.0766094, -0.191523, 9.49956
2.195, 0.0766094, -0.229828, 9.23143
2.301, 0.0766094, -0.153219, 9.03991
2.408, 0.191523, -0.191523, 9.72939
2.51499, 0.0766094, -0.191523, 9.38465
2.622, 0.0766094, -0.229828, 9.26973
2.728, 0.114914, -0.153219, 9.42295
2.835, 0.0, -0.114914, 9.8443
2.941, 0.153219, -0.268133, 8.88668
