Time,ax,ay,az
0.167999, -1.91523, -4.67317, 8.54194
0.274017, -1.49388, -3.60064, 9.15482
0.382019, -1.45558, -3.67725, 9.42295
0.488007, -1.49388, -3.40912, 8.54194
0.595001, -1.91523, -3.52403, 9.42295
0.701996, -1.6088, -3.44742, 9.46126
0.808014, -1.6088, -3.56234, 9.15482
0.915009, -1.72371, -3.94538, 9.07821
1.021, -1.6088, -3.60064, 9.23143
1.12802, -2.60472, -3.17929, 9.07821
1.23401, -2.83455, -4.32843, 8.77177
1.341, -0.881008, -4.32843, 9.03991
1.44702, -1.6471, -3.33251, 8.92499
1.55301, -1.83862, -3.40912, 9.38465
1.72501, -1.72371, -3.10268, 8.81008
1.832, -1.41727, -3.56234, 8.88668
1.93802, -1.53219, -3.44742, 8.81008
2.04501, -1.72371, -3.63894, 9.0016
2.151, -1.22575, -3.17929, 9.34634
2.258, -1.45558, -3.33251, 9.11651
2.36401, -1.72371, -3.44742, 8.84838
2.47, -1.6471, -3.40912, 9.26973
2.577, -1.22575, -3.37081, 9.26973
2.68301, -1.37897, -3.33251, 9.0016
2.79001, -1.26405, -3.33251, 8.84838
2.897, -1.22575, -3.17929, 8.92499
