Time,ax,ay,az
0.176003, 0.0, -0.0766094, 9.65278
0.283997, 0.459656, -0.306437, 9.72939
0.389999, 0.0383047, -0.306437, 9.806
0.496002, 0.0766094, -0.344742, 9.23143
0.602997, 0.229828, -0.229828, 9.72939
0.709, 0.0383047, -0.344742, 9.61448
0.816002, -0.153219, -0.0766094, 9.69109
0.922997, 0.229828, -0.344742, 9.34634
1.033, 0.0383047, 0.0383047, 9.65278
1.139, 0.0766094, -0.268133, 9.19312
1.246, -0.0383047, -0.114914, 9.72939
1.353, 0.0766094, 0.0766094, 9.53786
1.46, 0.0766094, -0.153219, 9.26973
1.567, -0.0766094, 0.0, 9.76769
1.74, 0.191523, -0.191523, 9.46126
1.846, 0.0383047, -0.114914, 9.23143
1.953, 0.0766094, -0.344742, 9.19312
2.059, -0.0383047, -0.191523, 9.30804
2.165, 0.0, -0.114914, 9.61448
2.273, 0.0, -0.114914, 9.30804
2.379, -0.0383047, -0.0383047, 9.57617
2.486, 0.114914, -0.229828, 9.46126
2.592, 0.0, -0.306437, 9.61448
2.699, 0.0383047, -0.229828, 9.42295
2.805, 0.114914, -0.268133, 9.57617
2.912, 0.114914, -0.114914, 9.42295
