Time,ax,ay,az
0.168945, 7.04806, 5.20944, 3.75386
0.274902, 7.08637, 5.36266, 3.71555
0.381836, 7.12467, 5.17113, 3.40912
0.488037, 6.74162, 5.40096, 3.79216
0.594971, 6.85654, 5.28605, 3.56234
0.700928, 6.77993, 5.32435, 4.0986
0.811035, 6.81823, 5.32435, 3.79216
0.917969, 6.74162, 5.24774, 3.83047
1.02393, 6.66501, 5.28605, 3.52403
1.13184, 6.89484, 5.36266, 4.17521
1.23804, 6.85654, 5.32435, 3.94538
1.34595, 6.93315, 5.43926, 3.98369
1.4519, 6.97145, 5.43926, 3.98369
1.55884, 6.77993, 5.36266, 4.17521
1.66504, 6.89484, 5.36266, 3.94538
1.83105, 6.93315, 5.28605, 3.75386
1.93701, 6.85654, 5.47757, 3.33251
2.04395, 6.70332, 5.47757, 3.56234
2.1499, 6.89484, 5.43926, 3.83047
2.25684, 6.89484, 5.63079, 4.0603
2.36304, 6.62671, 5.32435, 3.56234
2.46997, 6.77993, 5.59248, 3.90708
2.57593, 6.85654, 5.43926, 3.86877
2.68384, 6.70332, 5.17113, 3.75386
2.79004, 6.77993, 5.36266, 3.60064
2.896, 6.77993, 5.32435, 4.25182
