Time,ax,ay,az
0.250977, 0.612875, -0.153219, 10.0741
0.358887, 0.459656, 0.114914, 18.1181
0.464844, 1.37897, 0.804398, 22.8296
0.571045, -0.191523, -0.114914, -0.612875
0.677979, -0.0766094, -0.153219, -0.689484
0.783936, -0.229828, 0.0766094, -0.383047
0.890869, -0.191523, -0.0383047, 0.0383047
0.998047, -0.0766094, -0.191523, 0.0766094
1.10791, 54.9289, 17.1222, -78.0266
1.21387, 51.9028, -0.191523, -0.268133
1.32104, -18.1947, -6.70332, -6.58841
1.42798, -2.25998, -4.71148, -7.96737
1.53491, -0.344742, -0.536266, -10.0358
1.71802, -1.07253, -2.10676, -9.65278
1.82397, -1.07253, -1.99184, -9.19312
1.93091, -0.995922, -2.10676, -9.49956
2.03687, -1.03423, -1.99184, -9.69109
2.14502, -1.14914, -1.87693, -9.30804
2.25098, -1.18745, -2.06845, -9.38465
2.35791, -1.07253, -1.95354, -9.38465
2.46387, -1.11084, -2.18337, -9.61448
2.57104, -1.07253, -2.03015, -9.61448
2.677, -0.995922, -2.03015, -9.65278
2.78296, -0.995922, -2.18337, -8.84838
2.88989, -1.18745, -2.03015, -9.19312
2.99683, -0.957617, -1.99184, -8.81008
