Time,ax,ay,az
0.182983, -1.45558, 0.268133, 6.20536
0.289978, 0.804398, -4.32843, 22.4082
0.395996, 1.83862, 2.52811, 17.3903
0.502991, 0.0383047, 0.0, -0.268133
0.609985, 0.191523, -0.114914, -0.153219
0.716003, 0.229828, 0.0, -0.191523
0.822998, 0.344742, -0.114914, -0.536266
0.929016, 0.536266, 2.87285, -11.6063
1.03601, 0.344742, -0.268133, 0.268133
1.14301, 0.191523, -0.229828, -0.114914
1.24902, 4.0603, -3.60064, 0.344742
1.35602, 9.38465, 0.65118, -7.23959
1.46198, 7.66094, -5.05622, -6.16705
1.56903, 5.97553, -4.17521, -6.58841
1.75098, 6.16705, -3.83047, -6.47349
1.85797, 6.47349, -3.60064, -6.89484
1.96503, 6.24366, -3.75386, -6.32027
2.07202, 6.32027, -3.63894, -6.74162
2.17798, 6.24366, -3.83047, -6.5118
2.28802, 6.28197, -3.56234, -6.74162
2.39398, 6.39688, -3.48573, -6.16705
2.50098, 6.39688, -3.67725, -6.81823
2.60797, 6.24366, -3.52403, -6.77993
2.71503, 6.35858, -3.60064, -6.28197
2.82202, 6.32027, -3.67725, -6.66501
2.92798, 6.39688, -3.75386, -6.74162
