Time,ax,ay,az
0.163025, 0.0, -0.383047, 10.1507
0.268982, -0.842703, -1.14914, 12.6405
0.376038, -0.804398, -5.05622, 22.6764
0.481995, -0.881008, -0.689484, -0.114914
0.588989, 0.0766094, -0.268133, 0.0
0.695007, 0.0383047, -0.191523, 0.191523
0.801025, 0.0383047, 0.191523, 0.497961
0.90802, 0.306437, -0.0766094, 0.0383047
1.01404, 23.1743, -64.122, 56.4228
1.12103, 15.1687, 0.459656, -0.497961
1.22699, -1.37897, 1.95354, 1.87693
1.33502, -1.14914, 2.18337, 4.40504
1.44104, 10.8019, 0.727789, 21.2208
1.54803, 8.46534, 2.52811, 12.6022
1.724, -0.229828, 0.268133, 9.53786
1.83099, -0.153219, 0.114914, 9.69109
1.94, -0.114914, 0.0766094, 9.42295
2.047, -0.153219, 0.191523, 9.38465
2.15302, -0.114914, 0.114914, 9.69109
2.26001, -0.0766094, 0.153219, 9.76769
2.367, 0.0766094, 0.153219, 9.88261
2.47302, 0.0383047, 0.0766094, 9.57617
2.58099, -0.191523, 0.114914, 9.53786
2.68701, 0.0, 0.114914, 9.95922
2.79401, -0.153219, 0.229828, 9.61448
2.90002, -0.0766094, 0.153219, 9.19312
