Time,ax,ay,az
0.243042, -0.497961, -2.18337, 6.12875
0.34906, -0.459656, -2.83455, 8.54194
0.456055, -1.72371, -7.89076, 10.0741
0.562012, -5.89892, -2.91116, 14.0195
0.66803, -3.98369, -3.60064, 17.5818
0.775024, -4.32843, -6.05214, 19.9567
0.882019, -5.7457, -9.15482, 6.16705
0.989014, 0.383047, -0.114914, -0.114914
1.09503, 0.0766094, -0.0383047, -0.0383047
1.20203, 0.0766094, 0.0383047, 0.0
1.30804, 0.153219, -0.0766094, -0.0383047
1.41504, 0.191523, 0.0383047, 0.0
1.52203, 0.268133, -0.0383047, 0.0383047
1.62805, 0.65118, -0.191523, -2.4515
1.73602, 0.114914, -0.153219, -1.18745
1.84302, 0.191523, -0.383047, -1.07253
1.95105, 1.95354, 4.82639, -17.4669
2.05804, 2.18337, 2.33659, -10.7253
2.16602, -0.344742, -0.268133, -9.61448
2.27301, 0.0, -0.0383047, -9.42295
2.38, 0.114914, -0.114914, -9.46126
2.48804, 0.229828, -0.0383047, -9.53786
2.59503, 0.0383047, 0.0383047, -9.26973
2.70605, 0.0766094, -0.0766094, -9.57617
2.81201, 0.0766094, 0.0, -9.30804
2.91803, 0.0383047, 0.0, -9.34634
