Time,ax,ay,az
0.177002, -0.268133, -0.612875, 9.26973
0.283936, -6.43519, 1.26405, 24.7065
0.391113, -6.74162, -3.48573, 17.9266
0.498047, -0.0766094, -0.0766094, -0.65118
0.60498, -0.229828, -0.0383047, 0.191523
0.710938, -0.153219, 0.0, -0.459656
0.818115, -0.153219, 0.0766094, -0.114914
0.925049, -0.268133, 0.0383047, 0.191523
1.03101, 3.75386, -0.57457, 10.3423
1.13794, 5.89892, 0.229828, 8.54194
1.24414, 5.7074, 0.114914, 7.62263
1.35107, 5.51587, 0.0383047, 7.27789
1.45703, 5.51587, -0.191523, 7.92907
1.63794, 4.97961, -0.268133, 8.1972
1.74414, 5.01791, -0.459656, 8.1589
1.85107, 5.36266, -0.65118, 7.96737
1.95703, 5.20944, -0.536266, 7.92907
2.06396, 5.05622, -0.57457, 8.12059
2.17017, 4.82639, -0.459656, 7.73755
2.27612, 5.09452, -0.766094, 8.31211
2.38403, 5.05622, -0.689484, 8.1972
2.48999, 4.903, -0.689484, 7.81416
2.59717, 4.97961, -0.766094, 8.08229
2.70313, 5.24774, -0.842703, 8.08229
2.81006, 5.09452, -0.842703, 8.31211
2.91602, 4.97961, -0.689484, 7.77585
