Time,ax,ay,az
0.34198, -0.536266, -0.229828, 8.38873
0.447998, -0.114914, -2.87285, 19.4588
0.554993, 9.19312, -0.842703, 36.466
0.661987, -0.114914, 1.30236, -0.344742
0.768982, -0.497961, -0.0383047, -0.766094
0.875, -0.536266, 0.153219, -0.957617
0.981995, -0.344742, 0.153219, -0.459656
1.08798, -0.229828, 0.114914, -0.766094
1.194, -0.459656, 0.0766094, -0.153219
1.302, -0.306437, 0.229828, -0.421352
1.40799, -11.6446, -3.17929, 19.612
1.51498, -2.75794, -4.40504, 13.9812
1.621, -0.612875, -3.2942, 11.6446
1.728, 0.497961, -1.87693, 8.46534
1.83398, 0.229828, -1.37897, 9.26973
1.94098, -0.497961, -2.06845, 9.34634
2.047, -0.57457, -2.29828, 9.23143
2.15298, -0.191523, -1.99184, 8.84838
2.25998, -0.306437, -2.14506, 9.11651
2.366, -0.421352, -2.18337, 9.53786
2.47299, -0.306437, -2.14506, 9.34634
2.57898, -0.191523, -2.18337, 9.42295
2.68597, -0.344742, -2.33659, 9.42295
2.793, -0.306437, -2.22167, 8.96329
2.89999, -0.383047, -2.10676, 9.76769
