Time,ax,ay,az
0.167, 0.268133, -1.26405, 8.77177
0.273003, 0.65118, -0.536266, 9.0016
0.379997, 0.612875, 0.459656, 10.687
0.486, 3.2942, -1.72371, 17.4669
0.592003, 10.3806, -6.47349, 34.0529
0.698997, 12.4107, 0.957617, 3.40912
0.805, -2.10676, 2.79624, -3.90708
0.912003, -1.30236, 3.60064, -2.14506
1.018, -2.18337, 1.30236, -2.10676
1.125, -2.18337, 0.421352, -2.29828
1.232, -2.18337, -0.229828, -2.18337
1.341, -1.91523, -0.114914, -1.83862
1.448, -1.14914, -0.0383047, -1.07253
1.554, -1.95354, 0.153219, -0.114914
1.726, -3.2942, -7.54602, -0.612875
1.834, -11.1467, -3.75386, -0.65118
1.94, -12.6405, -4.903, -3.63894
2.048, -12.6022, -5.93723, -6.81823
2.154, -9.76769, -0.919312, -5.7457
2.26, -9.61448, 1.49388, -6.66501
2.367, -10.3423, 5.63079, -3.98369
2.473, -6.28197, 6.32027, 2.03015
2.58, -2.18337, 2.06845, 6.16705
2.686, -3.37081, 1.53219, 10.7636
2.793, -0.804398, 1.49388, 8.77177
2.899, -0.766094, 0.65118, 9.61448
