Time,ax,ay,az
0.179993, -1.18745, 6.47349, 8.1972
0.286987, -1.53219, 1.26405, 5.36266
0.393005, -1.26405, 0.65118, 5.78401
0.498962, -0.766094, -1.6088, 4.903
0.605957, -0.268133, -2.29828, 10.1124
0.711975, -3.67725, -4.36673, 24.0553
0.820007, -2.87285, -2.68133, 21.7571
0.925964, -1.45558, 1.18745, 21.5655
1.03296, 0.153219, -1.14914, 2.52811
1.13898, 0.0, 0.268133, -0.268133
1.24597, 0.0766094, 0.229828, -0.383047
1.35199, 0.114914, 0.306437, -0.153219
1.45898, 0.114914, 0.229828, -0.191523
1.56598, 0.268133, 0.153219, -0.114914
1.745, 0.229828, 0.268133, 0.0
1.85199, -1.18745, 1.83862, 3.33251
1.95801, 7.66094, 5.13283, 9.88261
2.065, 1.6088, 7.69924, 17.352
2.172, -0.727789, 5.59248, 14.2876
2.27899, -1.49388, 3.83047, 12.6022
2.38495, -1.41727, 3.63894, 12.1809
2.492, -0.497961, 2.4515, 10.6104
2.59796, -0.191523, 1.53219, 9.53786
2.70496, 0.229828, 1.87693, 8.65686
2.81097, 0.727789, 1.03423, 7.08637
2.91699, 1.11084, 0.229828, 4.36673
