Time,ax,ay,az
0.161865, -0.421352, -5.17113, -2.60472
0.268799, -0.306437, 1.72371, -11.9511
0.376953, 1.22575, 1.68541, -11.3382
0.48291, 0.459656, 3.71555, -9.15482
0.589844, -1.34066, 4.82639, -11.6063
0.695801, -4.17521, -0.191523, -17.8117
0.802002, -8.1972, -7.3545, -16.9307
0.908936, -8.1589, 14.0961, -0.957617
1.01489, -0.0766094, 1.18745, 2.10676
1.12183, 1.18745, -0.191523, 0.995922
1.22803, 1.26405, 1.53219, -1.57049
1.33496, 4.13691, 2.68133, -7.69924
1.44092, 3.90708, -2.03015, -9.72939
1.54785, 3.10268, -1.72371, -8.38873
1.70996, -4.82639, -1.68541, -10.9551
1.81592, -2.4898, 2.41319, -11.4914
1.92285, 0.57457, -1.57049, -2.83455
2.02881, -3.79216, -3.14098, -3.60064
2.13501, -1.57049, 2.06845, -2.98777
2.24194, 0.766094, 3.02607, -10.5338
2.3479, -3.06437, 0.766094, -9.92091
2.45581, -1.57049, 1.03423, -9.38465
2.56201, -1.26405, 1.11084, -10.2273
2.66895, 0.268133, 0.459656, -8.96329
2.7749, -0.766094, 1.07253, -9.61448
2.88184, -1.14914, 0.995922, -11.6063
2.98779, -1.6088, 2.41319, -8.65686
