time,ax,ay,az
0.106995, 1.34066, 0.995922, 8.73347
0.272003, -1.83862, -2.10676, 9.61448
0.378998, -0.57457, -0.344742, 3.06437
0.487, -1.22575, -3.79216, 12.9853
0.593994, 2.75794, -2.56641, 23.6723
0.700989, 0.344742, -2.03015, 24.7065
0.80899, 0.383047, -0.536266, -1.95354
0.915985, -0.0766094, -0.344742, -1.03423
1.02399, -0.0383047, -0.383047, -0.383047
1.13098, 0.0, -0.383047, -0.995922
1.23898, -0.383047, -0.459656, -0.497961
1.34598, 0.306437, 49.7961, -53.4733
1.453, -70.2508, -7.66094, 57.8401
1.561, 3.44742, 11.9128, -10.0741
1.73099, 16.3944, 16.0114, 9.30804
1.83798, 2.94946, 0.306437, 3.83047
1.94598, 2.4515, -0.995922, 9.69109
2.05298, 0.383047, -0.0766094, 9.46126
2.16, 1.37897, 0.0, 9.57617
2.26801, 0.689484, 0.0, 9.34634
2.375, 1.03423, -0.114914, 9.61448
2.483, 0.727789, -0.114914, 9.15482
2.59, 0.957617, -0.0383047, 9.26973
2.698, 0.957617, -0.0766094, 9.38465
2.80499, 0.919312, -0.114914, 8.88668
2.91199, 0.842703, -0.0766094, 9.30804
